place_name,place_address,lat,lng
Alfamart,"Makassar City, South Sulawesi, Indonesia · +62 1 500 959",-5.1460647,119.4187831
Alfamart,"Makassar City, South Sulawesi, Indonesia · +62 1 500 959",-5.1638285999999995,119.42358449999999
Alfamart,"Makassar City, South Sulawesi, Indonesia · +62 1 500 959",-5.1485769,119.43164429999999
Alfamart,"Makassar City, South Sulawesi, Indonesia · +62 1 500 959",-5.1651432999999995,119.4076036
Alfamart,"Makassar City, South Sulawesi, Indonesia · +62 1 500 959",-5.1381765999999995,119.422907
Alfamart,"Makassar City, South Sulawesi, Indonesia · In Perum BULOG Kanwil SULSELBAR · +62 1 500 959",-5.1630658,119.43472039999997
Alfamart Jl Abu Bakar Lambogo 2,"Makassar City, South Sulawesi, Indonesia · +62 411 459887",-5.1447848,119.42912330000001
Alfamart,"Makassar City, South Sulawesi, Indonesia · +62 1 500 959",-5.1500908999999995,119.42076529999999
Alfamart,"Makassar City, South Sulawesi, Indonesia · +62 1 500 959",-5.1518052,119.4231463
Alfamart Perintis Khatulistiwa (R350),"Makassar City, South Sulawesi, Indonesia · +62 812-9466-9623",-5.1200239,119.50912069999998
Alfamart Jl Gunung Merapi,"Makassar City, South Sulawesi, Indonesia · +62 21 500959",-5.1396166999999995,119.4171787
Alfamart,"Makassar City, South Sulawesi, Indonesia · +62 1 500 959",-5.180152,119.42593980000001
Alfamart,"Makassar City, South Sulawesi, Indonesia · +62 1 500 959",-5.1211839999999995,119.4178101
Sumber Alfaria Trijaya. PT (Alfamart),"Makassar City, South Sulawesi, Indonesia · +62 800 1234234",-5.154539799999999,119.4243062
Alfamart,"Makassar City, South Sulawesi, Indonesia · +62 812-9466-9851",-5.150305599999999,119.43441480000001
Alfamart,"Makassar City, South Sulawesi, Indonesia · +62 1 500 959",-5.1497263,119.44152469999999
Alfamart,"Makassar City, South Sulawesi, Indonesia · +62 1 500 959",-5.17502,119.39083679999999
Alfamart,"Makassar City, South Sulawesi, Indonesia · +62 1 500 959",-5.123740199999999,119.4092787
Alfamart,"Makassar City, South Sulawesi, Indonesia · +62 1 500 959",-5.1447383,119.4108289
Alfamart,"Makassar City, South Sulawesi, Indonesia · +62 1 500 959",-5.1411264999999995,119.4798273
Alfamart Express Ahmad Yani,"Makassar City, South Sulawesi, Indonesia · +62 411 4723201",-5.1334652,119.40781949999999
Alfamart,"Makassar City, South Sulawesi, Indonesia · +62 1 500 959",-5.172859,119.4210053
Alfamart,"Makassar City, South Sulawesi, Indonesia · +62 1 500 959",-5.1514299999999995,119.44771999999999
Alfamart,"Makassar City, South Sulawesi, Indonesia · +62 1 500 959",-5.1511448,119.4457667
Alfamart,"Makassar City, South Sulawesi, Indonesia · +62 1 500 959",-5.1397761,119.4299207
Alfamart,"Makassar City, South Sulawesi, Indonesia · +62 1 500 959",-5.1492787,119.4360326
Alfamart Minasa Upa,"Makassar City, South Sulawesi, Indonesia · +62 1 500 959",-5.1869811,119.4577437
Alfamart,"Makassar City, South Sulawesi, Indonesia · +62 1 500 959",-5.142392000000001,119.4195988
Alfamart,"Makassar City, South Sulawesi, Indonesia · +62 1 500 959",-5.1774821,119.4496496
Alfamart,"Makassar City, South Sulawesi, Indonesia · +62 1 500 959",-5.1748137,119.445831
Alfamart,"Makassar City, South Sulawesi, Indonesia · +62 1 500 959",-5.1483886,119.4223481
Alfamart,"Makassar City, South Sulawesi, Indonesia · In Toko Bintang Pengayoman · +62 1 500 959",-5.1578646,119.4388958
Alfamart,"Makassar City, South Sulawesi, Indonesia · +62 1 500 959",-5.122635,119.41428080000001
Alfamart Rajawali Makassar,"Makassar City, South Sulawesi, Indonesia",-5.150206799999999,119.4101688
Alfamart,"Makassar City, South Sulawesi, Indonesia · +62 1 500 959",-5.1564514,119.41803069999999
Alfamart,"Makassar City, South Sulawesi, Indonesia · +62 1 500 959",-5.181139,119.4606209
Alfamart,"Makassar City, South Sulawesi, Indonesia · +62 1 500 959",-5.1287131,119.4203054
Sumber Alfaria Trijaya. PT (Alfamart),"Makassar City, South Sulawesi, Indonesia · +62 800 1234234",-5.1473818,119.4383329
Alfamart,"Makassar City, South Sulawesi, Indonesia · +62 1 500 959",-5.1630519999999995,119.45412309999999
Alfamart,"Makassar City, South Sulawesi, Indonesia · +62 1 500 959",-5.1347707,119.4321531
Alfamart,"Makassar City, South Sulawesi, Indonesia · +62 1 500 959",-5.1136384,119.51610939999999
Alfamart,"Makassar City, South Sulawesi, Indonesia · +62 1 500 959",-5.184399,119.39403659999999
Alfamart,"Makassar City, South Sulawesi, Indonesia · +62 1 500 959",-5.1323928,119.4214305
Alfamart,"Makassar City, South Sulawesi, Indonesia · +62 1 500 959",-5.1745171,119.4303284
Alfamart,"Makassar City, South Sulawesi, Indonesia · In SPBU Pertamina 74.902.22 · +62 1 500 959",-5.1417972,119.48898600000001
Alfamart,"Makassar City, South Sulawesi, Indonesia · +62 1 500 959",-5.146196199999999,119.44500759999998
Alfamart,"Makassar City, South Sulawesi, Indonesia · +62 1 500 959",-5.150661299999999,119.46063489999999
Alfamart,"Makassar City, South Sulawesi, Indonesia · +62 1 500 959",-5.1471272,119.4399784
Alfamart,"Makassar City, South Sulawesi, Indonesia · +62 1 500 959",-5.1419861000000004,119.42446059999999
Alfamart,"Makassar City, South Sulawesi, Indonesia · +62 1 500 959",-5.1264553,119.4997411
Alfamart,"Makassar City, South Sulawesi, Indonesia · +62 812-9466-9615",-5.1742919,119.4555061
Alfamart,"Makassar City, South Sulawesi, Indonesia · +62 1 500 959",-5.115348,119.42385220000001
Alfamart,"Makassar City, South Sulawesi, Indonesia · +62 1 500 959",-5.1682044,119.411358
Alfamart,"Makassar City, South Sulawesi, Indonesia · In Daya Business Center · +62 1 500 959",-5.1146071,119.51168790000001
Alfamart,"Makassar City, South Sulawesi, Indonesia · +62 1 500 959",-5.1411763,119.407523
Sumber Alfaria Trijaya. PT (Alfamart),"Makassar City, South Sulawesi, Indonesia · +62 800 1234234",-5.146166099999999,119.4143467
Alfamart,"Makassar City, South Sulawesi, Indonesia · +62 1 500 959",-5.1748419000000005,119.42726329999999
Alfamart,"Makassar City, South Sulawesi, Indonesia · +62 1 500 959",-5.1816778999999995,119.44095479999999
